time_milli,total,unsolicited,schedule1,candidates,schedule2
2422494,8,5,4,3,2
2425472,8,0,4,4,4
2426237,8,6,4,2,2
2431518,8,0,4,4,4
2433192,8,4,4,4,4
2435300,8,0,4,4,4
2437118,8,3,4,4,4
2441472,8,0,4,4,4
2442518,8,3,4,4,4
2455167,8,0,4,4,4
2456186,8,4,4,4,4
2463377,8,0,4,4,4
2464705,8,4,4,4,4
2481178,8,0,4,4,4
2481617,8,4,4,4,4
2488050,8,0,4,4,4
2491462,8,3,4,4,4
2496336,8,0,4,4,4
2499598,8,3,4,4,4
2510500,8,0,4,4,4
2514300,8,2,4,4,4
2522424,8,0,4,4,4
2523861,8,2,4,4,4
2540984,8,0,4,4,4
2543405,8,4,4,4,4
2549880,8,0,4,4,4
2551461,8,3,4,4,4
2554472,8,0,4,4,4
2555500,8,3,4,4,4
2567497,8,0,4,4,4
2570819,8,4,4,4,4
2580265,8,0,4,4,4
2584749,8,3,4,4,4
2597832,8,0,4,4,4
2603914,8,2,4,4,4
2611411,8,0,4,4,4
2620858,8,0,4,4,4
2631523,8,0,4,4,4
2632671,8,2,4,4,4
2641960,8,0,4,4,4
2650642,8,2,4,4,4
2659133,8,0,4,4,4
2661624,8,1,4,4,4
2670868,8,0,4,4,4
2671543,8,2,4,4,4
2691790,8,0,4,4,4
2695576,8,1,4,4,4
2715219,8,0,4,4,4
2732845,8,0,4,4,4
2735791,8,0,4,4,4
2736257,8,1,4,4,4
2747721,8,0,4,4,4
2748788,8,2,4,4,4
2765782,8,0,4,4,4
2770639,8,2,4,4,4
2779118,8,0,4,4,4
2782497,8,3,4,4,4
2802718,8,0,4,4,4
2806252,8,0,4,4,4
2812557,8,0,4,4,4
2823722,8,3,4,4,4
2838067,8,0,4,4,4
2841346,8,3,4,4,4
2854893,8,0,4,4,4
2855368,8,2,4,4,4
2869255,8,0,4,4,4
2892299,8,0,4,4,4
2896921,8,0,4,4,4
2901452,8,2,4,4,4
2909061,8,0,4,4,4
2921814,8,2,4,4,4
2940781,8,0,4,4,4
2947484,8,3,4,4,4
2955045,8,0,4,4,4
2956046,8,3,4,4,4
2962563,8,0,4,4,4
2965072,8,5,4,3,2
2969551,8,0,4,4,4
2973699,8,5,4,3,2
2979350,8,0,4,4,4
2980405,8,2,4,4,4
2988421,8,0,4,4,4
2991027,8,2,4,4,4
3007343,8,0,4,4,4
3008726,8,4,4,4,4
3019373,8,0,4,4,4
3020764,8,4,4,4,4
3029683,8,0,4,4,4
3030412,8,5,4,3,2
3043750,8,0,4,4,4
3045941,8,3,4,4,4
3053264,8,0,4,4,4
3053703,8,3,4,4,4
3069811,8,0,4,4,4
3072872,8,2,4,4,4
3080098,8,0,4,4,4
3080938,8,4,4,4,4
3091102,8,0,4,4,4
3092961,8,4,4,4,4
3100207,8,0,4,4,4
3100673,8,3,4,4,4
3108583,8,0,4,4,4
3113617,8,3,4,4,4
3118695,8,0,4,4,4
3119134,8,4,4,4,4
3128806,8,0,4,4,4
3131272,8,5,4,3,2
3138482,8,0,4,4,4
3138984,8,4,4,4,4
3151884,8,0,4,4,4
3153242,8,2,4,4,4
3159140,8,0,4,4,4
3160805,8,3,4,4,4
3164644,8,0,4,4,4
3165636,8,3,4,4,4
3169406,8,0,4,4,4
3170716,8,2,4,4,4
3173396,8,0,4,4,4
3179814,8,2,4,4,4
3186974,8,0,4,4,4
3198518,8,4,4,4,4
3210070,8,0,4,4,4
3225771,8,0,4,4,4
3231784,8,0,4,4,4
3238926,8,2,4,4,4
3250759,8,0,4,4,4
3255573,8,0,4,4,4
3261022,8,0,4,4,4
3262584,8,2,4,4,4
3267737,8,0,4,4,4
3270269,8,2,4,4,4
3285508,8,0,4,4,4
3288174,8,2,4,4,4
3301612,8,0,4,4,4
3308493,8,3,4,4,4
3314645,8,0,4,4,4
3316018,8,3,4,4,4
3319813,8,0,4,4,4
3321765,8,3,4,4,4
3329252,8,0,4,4,4
3335334,8,1,4,4,4
3339624,8,0,4,4,4
3342013,8,6,4,2,2
3345374,8,0,4,4,4
3345885,8,6,4,2,2
3348024,8,0,4,4,4
3348320,8,7,4,1,1
3351042,8,0,4,4,4
3351481,8,7,4,1,1
3356216,8,0,4,4,4
3357797,8,6,4,2,2
3359715,8,0,4,4,4
3361251,8,6,4,2,2
3365254,8,0,4,4,4
3366773,8,5,4,3,2
3370535,8,0,4,4,4
3372209,8,6,4,2,2
3376659,8,0,4,4,4
3380068,8,6,4,2,2
3384530,8,0,4,4,4
3384987,8,6,4,2,2
3389233,8,0,4,4,4
3391450,8,5,4,3,2
3394229,8,0,4,4,4
3396619,8,5,4,3,2
3400232,8,0,4,4,4
3403201,8,4,4,4,4
3409672,8,0,4,4,4
3411743,8,6,4,2,2
3416724,8,0,4,4,4
3418822,8,7,4,1,1
3421822,8,0,4,4,4
3426749,8,5,4,3,2
3429563,8,0,4,4,4
3431099,8,7,4,1,1
3434761,8,0,4,4,4
3435789,8,6,4,2,2
3438359,8,0,4,4,4
3438825,8,6,4,2,2
3444453,8,0,4,4,4
3445499,8,6,4,2,2
3448715,8,0,4,4,4
3451820,8,4,4,4,4
3456363,8,0,4,4,4
3458721,8,0,4,4,4
3462054,8,0,4,4,4
3463783,8,0,4,4,4
3466929,8,0,4,4,4
3468693,8,0,4,4,4
3470363,8,0,4,4,4
3473956,8,0,4,4,4
3474458,8,4,4,4,4
3477902,8,0,4,4,4
3480327,8,0,4,4,4
3484392,8,0,4,4,4
3486021,8,0,4,4,4
3489329,8,0,4,4,4
3490920,8,0,4,4,4
3493887,8,0,4,4,4
3496419,8,0,4,4,4
3496948,8,4,4,4,4
3499358,8,0,4,4,4
3501194,8,7,4,1,1
3503589,8,0,4,4,4
3504082,8,7,4,1,1
3506331,8,0,4,4,4
3507858,8,7,4,1,1
3510691,8,0,4,4,4
3513178,8,0,4,4,4
3514193,8,0,4,4,4
3517350,8,0,4,4,4
3518477,8,0,4,4,4
3519550,8,5,4,3,2
3523109,8,0,4,4,4
3524173,8,7,4,1,1
3525681,8,0,4,4,4
3528548,8,0,4,4,4
3529376,8,7,4,1,1
3530893,8,0,4,4,4
3534122,8,0,4,4,4
3536160,8,0,4,4,4
3537879,8,0,4,4,4
3539957,8,0,4,4,4
3540396,8,6,4,2,2
3542145,8,0,4,4,4
3542593,8,7,4,1,1
3546958,8,0,4,4,4
3547469,8,6,4,2,2
3549755,8,0,4,4,4
3550592,8,7,4,1,1
3552150,8,0,4,4,4
3552670,8,7,4,1,1
3555677,8,0,4,4,4
3557005,8,7,4,1,1
3559566,8,0,4,4,4
3562723,8,0,4,4,4
3563171,8,7,4,1,1
3564537,8,0,4,4,4
3567758,8,0,4,4,4
3569455,8,0,4,4,4
3569894,8,6,4,2,2
3573737,8,0,4,4,4
3574803,8,0,4,4,4
3577965,8,0,4,4,4
3579501,8,7,4,1,1
3581080,8,0,4,4,4
3584846,8,0,4,4,4
3586245,8,7,4,1,1
3588968,8,0,4,4,4
3590550,8,0,4,4,4
3591569,8,6,4,2,2
3594259,8,0,4,4,4
3597486,8,0,4,4,4
3601815,8,0,4,4,4
3603378,8,7,4,1,1
3606140,8,0,4,4,4
3606579,8,7,4,1,1
3608463,8,0,4,4,4
3608929,8,7,4,1,1
3610884,8,0,4,4,4
3614066,8,0,4,4,4
3615920,8,5,4,3,2
3620637,8,0,4,4,4
3621947,8,5,4,3,2
3625065,8,0,4,4,4
3626084,8,4,4,4,4
3630059,8,0,4,4,4
3632181,8,3,4,4,4
3637053,8,0,4,4,4
3638045,8,3,4,4,4
3645247,8,0,4,4,4
3645806,8,6,4,2,2
3648803,8,0,4,4,4
3649795,8,4,4,4,4
3657133,8,0,4,4,4
3661866,8,3,4,4,4
3671624,8,0,4,4,4
3674302,8,5,4,3,2
3678784,8,0,4,4,4
3680647,8,6,4,2,2
3683603,8,0,4,4,4
3686309,8,0,4,4,4
3686923,8,6,4,2,2
3690128,8,0,4,4,4
3691402,8,6,4,2,2
3699416,8,0,4,4,4
3700988,8,6,4,2,2
3707638,8,0,4,4,4
3710833,8,3,4,4,4
3715711,8,0,4,4,4
3716704,8,5,4,3,2
3718253,8,0,4,4,4
3718692,8,6,4,2,2
3723238,8,0,4,4,4
3723803,8,6,4,2,2
3726452,8,0,4,4,4
3728099,8,7,4,1,1
3732125,8,0,4,4,4
3734108,8,5,4,3,2
3738354,8,0,4,4,4
3739917,8,5,4,3,2
3742775,8,0,4,4,4
3743295,8,6,4,2,2
3750195,8,0,4,4,4
3750617,8,6,4,2,2
3751937,8,0,4,4,4
3752376,8,7,4,1,1
3755698,8,0,4,4,4
3757169,8,6,4,2,2
3760866,8,0,4,4,4
3762447,8,7,4,1,1
3767064,8,0,4,4,4
3767521,8,7,4,1,1
3770208,8,0,4,4,4
